215	tt0280653	Amen.	Amen. (2002)	7.3	Action,Biography,Crime,Drama,War
216	tt2785390	America: Imagine the World Without Her	America: Imagine the World Without Her (2014)	5.6	Action,Documentary
217	tt0169547	American Beauty	American Beauty (1999)	8.4	Action,Drama,Romance
218	tt0765429	American Gangster	American Gangster (2007)	7.8	Action,Biography,Crime,Drama,History,Thriller
219	tt2923316	American Heist	American Heist (2014)	5.2	Action,Crime,Drama,Thriller
220	tt0120586	American History X	American History X (1998)	8.5	Action,Crime,Drama
221	tt1800241	American Hustle	American Hustle (2013)	7.3	Action,Crime,Drama,History
222	tt2940482	American Justice	American Justice (2017)	2.7	Action
223	tt0088708	American Ninja	American Ninja (1985)	5.4	Action,Adventure,Romance
224	tt0092548	American Ninja 2: The Confrontation	American Ninja 2: The Confrontation (1987)	4.8	Action,Drama
225	tt0096804	American Ninja 3: Blood Hunt	American Ninja 3: Blood Hunt (1989)	3.5	Action,Drama
226	tt1407050	American Pie Presents: The Book of Love	American Pie Presents: The Book of Love (2009)	4.8	Action,Comedy
227	tt0144084	American Psycho	American Psycho (2000)	7.6	Action,Comedy,Crime,Drama,Horror
228	tt1605630	American Reunion	American Reunion (2012)	6.7	Action,Comedy
229	tt2179136	American Sniper	American Sniper (2014)	7.3	Action,Biography,Drama,History,Thriller,War
230	tt1318044	American Virgin	American Virgin (2009)	4.3	Action,Comedy
231	tt2330458	America's Most Haunted	America's Most Haunted (2013)	4.3	Action,Comedy,Horror
232	tt0265029	America's Sweethearts	America's Sweethearts (2001)	5.7	Action,Comedy,Romance
233	tt3139538	Amira & Sam	Amira & Sam (2014)	6.2	Action,Comedy,Drama,Romance
234	tt0118607	Amistad	Amistad (1997)	7.3	Action,Drama,History
235	tt1984110	Among Friends	Among Friends (2012)	4.5	Action,Comedy,Horror
236	tt1409734	An Acrid Yarn	An Acrid Yarn (2010)	2.7	Action,Thriller
237	tt2663812	An Adventure in Space and Time	An Adventure in Space and Time (2013)	8.3	Action,Biography,Drama,History
238	tt4046282	An Alternative Reality: The Football Manager Documentary	An Alternative Reality: The Football Manager Documentary (2014)	6.9	Action,Documentary
239	tt0090633	An American Tail	An American Tail (1986)	6.9	Action,Adventure,Animation,Comedy,Drama,Family,Musical
